﻿msg_0,[end]
msg_1,[end]
msg_2,[end]
msg_3,[end]
msg_4,[end]
msg_5,[end]
msg_6,[end]
msg_7,[end]
msg_8,[end]
msg_9,[end]
msg_10,[end]
msg_11,[end]
msg_12,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
わしの「ふあん」が人間界にのぉ…
物好きな人間がおるもんぢゃ…
[wait][clear][end]"
msg_13,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
おもしろいことを言うのぉ…
[wait][clear][end]"
msg_14,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
「いんたびゅー」っちゅうのは
なかなか緊張するのぉ…
[wait][clear][end]"
msg_15,"[color(yellow)][var(msg_var_0)][color(white)]
ふろーのえらーぢゃ！
[wait][clear][end]"
msg_16,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
わしの話が聞きたいんぢゃったら
土産のひとつも、持ってこんかあぁぁっ！！
[wait][clear][end]"
msg_17,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
年寄りぢゃからと、小馬鹿にしとるなあっ！
わしゃもう、我慢がならんぞいっ！！
[wait][clear][end]"
msg_18,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
いきなり「いんたびゅー」たぁ何事ぢゃあっ！
そんな話は聞いとらんぞいっ！！
[wait][clear][end]"
msg_19,"[color(yellow)][var(msg_var_0)][color(white)]
ひ、ひえぇぇぇ！
わ、わしから、何を聞き出すつもりぢゃぁ…
な、なんか知らんが、気味が悪いのぉ…
[wait][clear][end]"
msg_20,"[color(yellow)][var(msg_var_0)][color(white)]
ひ、ひえぇぇぇ！
よ、ようわからんがぁ…
な、なんか、不吉な感じがするのおぉぉ…
[wait][clear][end]"
msg_21,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
占いのできる人間が、まだおったとはのぉ…
まさか…魔女さんぢゃなかろうなぁ…
[wait][clear][end]"
msg_22,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
なるほどのぉ…
[wait][clear][end]"
msg_23,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
占いたぁまた、古風な…
[wait][clear][end]"
msg_24,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
うれしいことを言うてくれるなあ！
ふぉっふぉっふぉ！
[wait][clear][end]"
msg_25,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
こりゃあ、おもしろいっ！！
わしゃ気に入ったぞいっ！！
[wait][clear][end]"
msg_26,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
占いっちゅうのは、おもしろいモンぢゃなあ！
今度、わしも教わろうかのぉ！
[wait][clear][end]"
msg_27,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
なんっちゅうことを言うんぢゃあぁっ！
このっ、罰当たりめがあぁーっ！！
[wait][clear][end]"
msg_28,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
勝手なことをするんぢゃないっ！
わしゃあ、占いはきらいなんぢゃっ！
[wait][clear][end]"
msg_29,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
わしゃあ、なにか仕出かしたかのぉ…
サッパリ思い出せん…
[wait][clear][end]"
msg_30,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
そんなオナゴさんは知らんがのぉ…
それともぉ、わしがボケたんぢゃろうか…
[wait][clear][end]"
msg_31,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
わしゃあ罪人ぢゃったか…
そういや、そういう気もするのぉ…
[wait][clear][end]"
msg_32,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
なんぢゃあぁ、そりゃああぁぁーっ！！
まったく、最近の若い人間は…
[wait][clear][end]"
msg_33,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
なんぢゃあぁ、いきなりっ！！
そんなオナゴは知らんぞいっ！！
[wait][clear][end]"
msg_34,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
マジメひとすじ七〇〇余年！
このわしを、罪人扱いする気かぁーっ！！
[wait][clear][end]"
msg_35,"[color(yellow)][var(msg_var_0)][color(white)]
ひ、ひえぇぇぇ！
生い先みじかい年寄りを
あ、あんまり、イヂめんでくれよおぉぉ…
[wait][clear][end]"
msg_36,"[color(yellow)][var(msg_var_0)][color(white)]
ひ、ひえぇぇぇ！
か、勘弁してくれぇ…
わ、わしゃ、そんなオナゴさんは知らんのぢゃ…
[wait][clear][end]"
msg_37,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
わしの声が、箱の中に入っとる…
こりゃ、おもしろいのぉ…
[wait][clear][end]"
msg_38,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
わしゃあ、そんなことを言うたかのぉ…？
言うたようなぁ、言わんような…
[wait][clear][end]"
msg_39,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
おまえさんのような若者がおれば
この国もしばらく安泰ぢゃろうなぁ…
[wait][clear][end]"
msg_40,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
この国も、いろいろと
大変なようぢゃなぁ…
[wait][clear][end]"
msg_41,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
若い人の話を聴くのも
なかなか楽しいもんぢゃなぁ！
[wait][clear][end]"
msg_42,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
おまえさんは、ようわかっとるのぉ！
感心、感心ぢゃよ！！
[wait][clear][end]"
msg_43,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
わからんっ、わからんぞいぃぃっ！！
年寄りぢゃからと、馬鹿にしとるなぁっ！！
[wait][clear][end]"
msg_44,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
青二才が、なにを言うかあーっ！！
おまえさんなんぞ、なにも分かっとらんのぢゃ！
[wait][clear][end]"
msg_45,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
美しいこたぁ美しいが、ちと華奢ぢゃなぁ…
きちんと食事はとっとるのかのぉ…？
[wait][clear][end]"
msg_46,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
なんと美しい…
在りし日のばあさんを見るようぢゃ…
[wait][clear][end]"
msg_47,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
人間も変わったのぉ…
昔は、こんなふうぢゃなかったが…
[wait][clear][end]"
msg_48,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
ええのぅ、ええのぅ！
若いっちゅうのは、ええことぢゃっ！！
[wait][clear][end]"
msg_49,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
小股の切れあがった、美しい娘さんぢゃ！！
まぁ、言うてみりゃあ、わしごのみぢゃよ！
[wait][clear][end]"
msg_50,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
そりゃあいったい、なんのマネぢゃあ！！
まったくワケがわからんぞいぃぃっ！！
[wait][clear][end]"
msg_51,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
おまえさんは、何をやっとるんぢゃっ！！
ウロチョロ、ウロチョロ、落ち着きがないぞい！
[wait][clear][end]"
msg_52,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
目は口ほどにものを言う…ハズぢゃがなぁ…
何が言いたいんか、サッパリわからんのぉ…
[wait][clear][end]"
msg_53,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
わしのことが気になるんか…
物好きぢゃなぁ…
[wait][clear][end]"
msg_54,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
男前ぢゃなぁ…
[wait][clear][end]"
msg_55,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
なにをジロジロ見とるんぢゃあっ！
わしゃあ、見世物ぢゃないぞいっ！！
[wait][clear][end]"
msg_56,"[color(yellow)][var(msg_var_0)][color(white)]
ひ、ひえぇぇぇ！
な、なんぢゃ、そりゃあぁぁ…
あ、新手の悪魔祓いかいのおぉぉ…
[wait][clear][end]"
msg_57,"[color(yellow)][var(msg_var_0)][color(white)]
ひ、ひえぇぇぇ！
わ、わしが悪かった…
そ、そんな恐ろしい目をせんでくれぇ…
[wait][clear][end]"
msg_58,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
赤い髪のおまえさん…
ばあさんの若い頃に、どことなく似とるのぉ…
[wait][clear][end]"
msg_59,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
そりゃまた難しいのぉ…
なんと答えていいものやら…
[wait][clear][end]"
msg_60,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
いずれも甲乙つけがたいのぉ…
まぁ、今日のところは引き分けっちゅうことで…
[wait][clear][end]"
msg_61,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
亀の甲より年の功っ！
わしに聞くたぁ、ようわかっとるのお！
[wait][clear][end]"
msg_62,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
わしに気があるんぢゃな…？
あぁっよいよい、皆まで言うな、皆まで言うな！
[wait][clear][end]"
msg_63,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
そんなモン、わしの知ったことかああぁぁぁっ！！
わしゃ、こう見えても忙しいんぢゃっ！！
[wait][clear][end]"
msg_64,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
おまえさんたちゃ、わかっとらんぞいっ！！
オナゴっちゅうのはなぁ、オナゴっちゅうのは…
[wait][clear][end]"
msg_65,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
おまえさんたちゃ優しいのぉ…
[wait][clear][end]"
msg_66,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
気持ちだけで、うれしいぞい！
[wait][clear][end]"
msg_67,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
わしとて悪魔の端くれぢゃっ！
人間の世話にゃあ、ならんのぢゃあぁぁっ！！
[wait][clear][end]"
msg_68,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
うわべだけの優しさなんぞ、わしゃあいらんっ！！
そんなモンは、ただの気休めぢゃっ！！
[wait][clear][end]"
msg_69,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
わしも「いんたびゅー」とやらを
うけてみたいのぉ…
[wait][clear][end]"
msg_70,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
「いんたびゅー」をすると
人間の人となりがわかるんぢゃなあっ！
[wait][clear][end]"
msg_71,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
おまえさんたちの話なんぞ
興味はないんぢゃっ！
[wait][clear][end]"
msg_72,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
なんで、わしをのけ者にするんぢゃっ！！
このっ、罰当たりめがあぁーっ！！
[wait][clear][end]"
msg_73,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
そんな踊りは、初めて見たが…
なかなか、おもしろい動きをしとるのぉ…
[wait][clear][end]"
msg_74,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
そりゃ、おもしろい…
[wait][clear][end]"
msg_75,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
激しい踊りぢゃなぁ…
[wait][clear][end]"
msg_76,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
愉快な踊りぢゃ！
宴会きぶんぢゃあ～～～っ！！
[wait][clear][end]"
msg_77,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
なんぢゃあ、その踊りは！！
動きが速すぎて、目が追いつかんぞいっ！！
[wait][clear][end]"
msg_78,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
こんな老いぼれにも、気にかけてくれる人がおる…
ありがたいことぢゃあ…
[wait][clear][end]"
msg_79,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
そんなに熱心に口説かれると…
わ、わしゃあ、照れるぢゃあないか！
[wait][clear][end]"
msg_80,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
人間もいろいろ苦労しとるようぢゃのぉ…
神にもなれず、悪魔にもなれず、辛かろうなぁ…
[wait][clear][end]"
msg_81,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
正義っちゅうのは
意外に厄介なモンなんぢゃなぁ…
[wait][clear][end]"
msg_82,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
なかなかええこと言うのぉ！
若いのに、感心ぢゃっ！
[wait][clear][end]"
msg_83,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
人間は、つまらんことで悩んどるのぉ！！
正義とはのぉ……悪でないことぢゃよっ！！
[wait][clear][end]"
msg_84,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
つまらんことで悩んどるんぢゃないっ！！
正義とはのぉ、正義とは……なんぢゃあっ！？
[wait][clear][end]"
msg_85,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
弟さんは、むずかしい年頃のようぢゃなぁ…
[wait][clear][end]"
msg_86,"[color(yellow)][var(msg_var_0)][color(white)]
ほほう…
弟さんは、人前ぢゃからぁ
少し照れとるんぢゃろ…
[wait][clear][end]"
msg_87,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
美しき兄弟愛…
わしゃあ、うらやましいぞい！
[wait][clear][end]"
msg_88,"[color(yellow)][var(msg_var_0)][color(white)]
ふぉっふぉっふぉっふぉ！
兄弟は両の手！！
しっかり支え合うて、生きていくんぢゃぞい！
[wait][clear][end]"
msg_89,"[color(yellow)][var(msg_var_0)][color(white)]
こぉりゃああっ！
なにをグジグジ言うとるんぢゃあーっ！！
おまえさんたちゃ、ナメクジかあぁぁーっ！！
[wait][clear][end]"
