﻿msg_0,[end]
msg_1,[end]
msg_2,[end]
msg_3,[end]
msg_4,[end]
msg_5,[end]
msg_6,[end]
msg_7,[end]
msg_8,[end]
msg_9,[end]
msg_10,[end]
msg_11,[end]
msg_12,"[color(yellow)][var(msg_var_0)][color(white)]
そ～カンタンには行かないですぅ。
[wait][clear][end]"
msg_13,"[color(yellow)][var(msg_var_0)][color(white)]
[var(msg_var_0)]も、おねえちゃんのこと
知りたいですぅ。
[wait][clear][end]"
msg_14,"[color(yellow)][var(msg_var_0)][color(white)]
[var(msg_var_0)]のこと、
気になりますかぁ？
[wait][clear][end]"
msg_15,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
[var(msg_var_0)]、
だいにんきですぅ！
[wait][clear][end]"
msg_16,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
おもしろい、おしごとですね！
[wait][clear][end]"
msg_17,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
[var(msg_var_0)]のこと
スキなんですね！
[wait][clear][end]"
msg_18,"[color(yellow)][var(msg_var_0)][color(white)]
ぜったいぜ～ったい
わるいこと考えてますぅ！
[wait][clear][end]"
msg_19,"[color(yellow)][var(msg_var_0)][color(white)]
むぅー！
ぷらいばし～のしんがいですぅ！
[wait][clear][end]"
msg_20,"[color(yellow)][var(msg_var_0)][color(white)]
ぜ～ったい、ヒミツですぅ！
[wait][clear][end]"
msg_21,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
そんなこと教えたら、おこられますぅ！
こわいですぅ…ふ、ふぇぇええん！
[wait][clear][end]"
msg_22,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
あくまさんのヒミツ教えたら
パパに、い～っぱい、おこられますぅ…
[wait][clear][end]"
msg_23,"[color(yellow)][var(msg_var_0)][color(white)]
な、なにかわるいこと
考えてるにきまってますぅ…
[wait][clear][end]"
msg_24,"[color(yellow)][var(msg_var_0)][color(white)]
それ、なんですかぁ？
[wait][clear][end]"
msg_25,"[color(yellow)][var(msg_var_0)][color(white)]
[var(msg_var_0)]ね、[var(msg_var_0)]ね…
あのぅ…「れんあいうん」うらなって
ほしいですぅ。
[wait][clear][end]"
msg_26,"[color(yellow)][var(msg_var_0)][color(white)]
[var(msg_var_0)]も、
やってみたいですぅ！
[wait][clear][end]"
msg_27,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
次は[var(msg_var_0)]のばんですぅ！
[wait][clear][end]"
msg_28,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
ありがとですぅ！
[wait][clear][end]"
msg_29,"[color(yellow)][var(msg_var_0)][color(white)]
インチキですぅ！
[wait][clear][end]"
msg_30,"[color(yellow)][var(msg_var_0)][color(white)]
もぅおしまいですかぁ？
もっと、おはなししてください！
[wait][clear][end]"
msg_31,"[color(yellow)][var(msg_var_0)][color(white)]
ウソですぅ！
ぜったいぜ～ったい
しんじませんっっ！
[wait][clear][end]"
msg_32,"[color(yellow)][var(msg_var_0)][color(white)]
「れんあいうん」は、ダメですぅ…
[wait][clear][end]"
msg_33,"[color(yellow)][var(msg_var_0)][color(white)]
や、やめてください…
[wait][clear][end]"
msg_34,"[color(yellow)][var(msg_var_0)][color(white)]
お金、とりませんよね…
[wait][clear][end]"
msg_35,"[color(yellow)][var(msg_var_0)][color(white)]
つぎは、[var(msg_var_0)]が
「けーじ」ですぅ！
[wait][clear][end]"
msg_36,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
もっと聞かせてくださいっ！
[wait][clear][end]"
msg_37,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
[var(msg_var_0)]が
はんにんやく、ですねぇ～？
[wait][clear][end]"
msg_38,"[color(yellow)][var(msg_var_0)][color(white)]
[var(msg_var_0)]じゃないですぅ！
[wait][clear][end]"
msg_39,"[color(yellow)][var(msg_var_0)][color(white)]
知りませんっ！
[wait][clear][end]"
msg_40,"[color(yellow)][var(msg_var_0)][color(white)]
むぅー！
[var(msg_var_0)]、「はんにんやく」は
つまんないですぅ！
[wait][clear][end]"
msg_41,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
し、知りません！
そんな女の人、見たことないですぅ！
[wait][clear][end]"
msg_42,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
[var(msg_var_0)]、[var(msg_var_0)]…
そんな女の人は知らないんですぅ！
[wait][clear][end]"
msg_43,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
[var(msg_var_0)]じゃないですぅ！
そんな女の人、聞いたこともないですぅ！
[wait][clear][end]"
msg_44,"[color(yellow)][var(msg_var_0)][color(white)]
そのキカイ、[var(msg_var_0)]の
こえが出ますぅ！
[wait][clear][end]"
msg_45,"[color(yellow)][var(msg_var_0)][color(white)]
んん～？
このこえ、どっかで聞いたことありますぅ。
[wait][clear][end]"
msg_46,"[color(yellow)][var(msg_var_0)][color(white)]
人間って、おもしろいですね！
[wait][clear][end]"
msg_47,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
とっても良くとれてますぅ！
おじちゃん、おじょうずですぅ！
[wait][clear][end]"
msg_48,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
およめにいけません…
[wait][clear][end]"
msg_49,"[color(yellow)][var(msg_var_0)][color(white)]
大人は、こわいですぅ…
[wait][clear][end]"
msg_50,"[color(yellow)][var(msg_var_0)][color(white)]
もの知りさんですぅ！
[wait][clear][end]"
msg_51,"[color(yellow)][var(msg_var_0)][color(white)]
[var(msg_var_0)]には
なにがひつようですかぁ？
[wait][clear][end]"
msg_52,"[color(yellow)][var(msg_var_0)][color(white)]
あくまのおはなしは、ないんですかぁ？
[wait][clear][end]"
msg_53,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
[var(msg_var_0)]、ファンに
なっちゃいますぅ！
[wait][clear][end]"
msg_54,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
しんけんなおにいちゃん、
かっこいいですぅ！
[wait][clear][end]"
msg_55,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
[var(msg_var_0)]も、大人になったら
そのセリフ、つかいますぅ！
[wait][clear][end]"
msg_56,"[color(yellow)][var(msg_var_0)][color(white)]
むぅー！
おはなし、つまんないですぅ！
[wait][clear][end]"
msg_57,"[color(yellow)][var(msg_var_0)][color(white)]
むぅー！
言ってること、ぜ～んぜん
分かりませんっっ！
[wait][clear][end]"
msg_58,"[color(yellow)][var(msg_var_0)][color(white)]
むぅー！
そんなの、聞きたくないですぅ！
[wait][clear][end]"
msg_59,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
おこってるのかなぁ…
[wait][clear][end]"
msg_60,"[color(yellow)][var(msg_var_0)][color(white)]
大人は、よくわかりません…
[wait][clear][end]"
msg_61,"[color(yellow)][var(msg_var_0)][color(white)]
なに言ってるのかなぁ…
[wait][clear][end]"
msg_62,"[color(yellow)][var(msg_var_0)][color(white)]
おねえちゃん、すごいですぅ！
[var(msg_var_0)]、おねえちゃんみたいに
なりたいですぅ！
[wait][clear][end]"
msg_63,"[color(yellow)][var(msg_var_0)][color(white)]
じょゆうさんみたいですぅ。
[wait][clear][end]"
msg_64,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
ドキドキしちゃいましたぁ！
[wait][clear][end]"
msg_65,"[color(yellow)][var(msg_var_0)][color(white)]
おぎょ～ぎ、わるいですよっっ！
[wait][clear][end]"
msg_66,"[color(yellow)][var(msg_var_0)][color(white)]
ぜ～んぜん！
うらやましくないですからねっ！
[wait][clear][end]"
msg_67,"[color(yellow)][var(msg_var_0)][color(white)]
むぅー！
ど～せ[var(msg_var_0)]は
キレイじゃないですぅ！
[wait][clear][end]"
msg_68,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
[var(msg_var_0)]には、できません…
[wait][clear][end]"
msg_69,"[color(yellow)][var(msg_var_0)][color(white)]
いきなり、どしたんですかぁ…？
[wait][clear][end]"
msg_70,"[color(yellow)][var(msg_var_0)][color(white)]
どして、じ～っと見るんですかぁ？
[wait][clear][end]"
msg_71,"[color(yellow)][var(msg_var_0)][color(white)]
[var(msg_var_0)]、まよっちゃいますぅ。
[wait][clear][end]"
msg_72,"[color(yellow)][var(msg_var_0)][color(white)]
じろじろ見ないでください！
[wait][clear][end]"
msg_73,"[color(yellow)][var(msg_var_0)][color(white)]
むぅー！
ビックリさせないでくださいっっ！
[wait][clear][end]"
msg_74,"[color(yellow)][var(msg_var_0)][color(white)]
ご、ごめんなさぁい…
[wait][clear][end]"
msg_75,"[color(yellow)][var(msg_var_0)][color(white)]
[var(msg_var_0)]のほうが
かわいいですぅ。
[wait][clear][end]"
msg_76,"[color(yellow)][var(msg_var_0)][color(white)]
んーとねぇ…
どっちも、キレイで、
どっちも、おいしそうですぅ。
[wait][clear][end]"
msg_77,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
どっちのおねえちゃんも、かわいいですぅ！
かわいいおねえちゃん、スキですぅ！
[wait][clear][end]"
msg_78,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
[var(msg_var_0)]が、いっちば～ん
かわいいですぅ！
[wait][clear][end]"
msg_79,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
[var(msg_var_0)]は
おいしそうなほうがスキですぅ！
[wait][clear][end]"
msg_80,"[color(yellow)][var(msg_var_0)][color(white)]
むぅー！
どっちも、イヤですぅ！
ぜぇ～んぜんっ、かわいくないですぅ！
[wait][clear][end]"
msg_81,"[color(yellow)][var(msg_var_0)][color(white)]
そんなの、きょ～みないですぅ！
[wait][clear][end]"
msg_82,"[color(yellow)][var(msg_var_0)][color(white)]
むぅー！
おっきくなったら、[var(msg_var_0)]のほうが
びじんになるんですぅ！
[wait][clear][end]"
msg_83,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
きっときっと、えらばなかったほうに
ころされちゃいますぅ…
[wait][clear][end]"
msg_84,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
きっときっと、えらんだおねえちゃんと
けっこんさせられますぅ…
[wait][clear][end]"
msg_85,"[color(yellow)][var(msg_var_0)][color(white)]
いっ、言えません…
[wait][clear][end]"
msg_86,"[color(yellow)][var(msg_var_0)][color(white)]
聞いてくれますかぁ？
[var(msg_var_0)]、ジャンケンに
かてないんですぅ。
[wait][clear][end]"
msg_87,"[color(yellow)][var(msg_var_0)][color(white)]
人間って、やさしいんですね。
[wait][clear][end]"
msg_88,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
そうだん、しますぅ！ あのね、えっとね…
んん？ 「なやみ」ってなんですかぁ？
[wait][clear][end]"
msg_89,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
おねえちゃんたち
やさしいですぅ！
[wait][clear][end]"
msg_90,"[color(yellow)][var(msg_var_0)][color(white)]
むぅー！
[var(msg_var_0)]、もう大人ですぅ！
[wait][clear][end]"
msg_91,"[color(yellow)][var(msg_var_0)][color(white)]
[var(msg_var_0)]のこと、
バカにしてますぅ！
[wait][clear][end]"
msg_92,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
おねえちゃんたち、きっとあとで
だれかに言っちゃうですぅ…
[wait][clear][end]"
msg_93,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
アイス食べると、おなかが…
いっ、言えないですぅ…
[wait][clear][end]"
msg_94,"[color(yellow)][var(msg_var_0)][color(white)]
つづき、聞きたいですぅ。
[wait][clear][end]"
msg_95,"[color(yellow)][var(msg_var_0)][color(white)]
おはなし、と～っても
おもしろいですぅ。
[wait][clear][end]"
msg_96,"[color(yellow)][var(msg_var_0)][color(white)]
[var(msg_var_0)]も、
おはなししたいですぅ。
[wait][clear][end]"
msg_97,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
おもしろいおはなし、ありがとですぅ！
[wait][clear][end]"
msg_98,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
こんどは[var(msg_var_0)]に
「いんたぶー」してください！
[wait][clear][end]"
msg_99,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
おはなし、よくわかんないですぅ…
[var(msg_var_0)]、バカですかぁ…？
[wait][clear][end]"
msg_100,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
[var(msg_var_0)]とも
おはなししてほしいですぅ…
[wait][clear][end]"
msg_101,"[color(yellow)][var(msg_var_0)][color(white)]
ちがうおどりも
おどってほしいですぅ！
[wait][clear][end]"
msg_102,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
[var(msg_var_0)]も、いっしょに
おどりたいですぅ！
[wait][clear][end]"
msg_103,"[color(yellow)][var(msg_var_0)][color(white)]
へたですぅ！
たいじょー、してくださいっっ！
[wait][clear][end]"
msg_104,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
おにいちゃんが、なに言っても
「あくま」は、やめないですぅ！
[wait][clear][end]"
msg_105,"[color(yellow)][var(msg_var_0)][color(white)]
キャハハッ！
わるい子は、いいあくまなんですぅ！
[wait][clear][end]"
msg_106,"[color(yellow)][var(msg_var_0)][color(white)]
むぅー！
こうなったら、[var(msg_var_0)]は
もっともーっと！ わるい子になりますぅ！
[wait][clear][end]"
msg_107,"[color(yellow)][var(msg_var_0)][color(white)]
むぅー！
[var(msg_var_0)]が、正しいんですっ！
[wait][clear][end]"
msg_108,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
[var(msg_var_0)]、わるい子ですかぁ？
[wait][clear][end]"
msg_109,"[color(yellow)][var(msg_var_0)][color(white)]
ふみゅぅ…
「あくま」でいることは
わるいこと、なんですかぁ…？
[wait][clear][end]"
msg_110,"[color(yellow)][var(msg_var_0)][color(white)]
[var(msg_var_0)]ね、こんどは
ちがうおはなし
してほしいですぅ。
[wait][clear][end]"
