﻿msg_0,[end]
msg_1,[end]
msg_2,[end]
msg_3,[end]
msg_4,[end]
msg_5,[end]
msg_6,[end]
msg_7,[end]
msg_8,[end]
msg_9,[end]
msg_10,[end]
msg_11,[end]
msg_12,"[color(yellow)][var(msg_var_0)][color(white)]
ソレガ ウヌノ 生業カ…
天職カモ 知レヌナ
[wait][clear][end]"
msg_13,"[color(yellow)][var(msg_var_0)][color(white)]
我ニ 興味ガ アルカ
我モ ウヌニ 興味ヲ 覚エタゾ
[wait][clear][end]"
msg_14,"[color(yellow)][var(msg_var_0)][color(white)]
我ニ 聞キタイ事ガ アルノカ？
年寄リノ話ニ 耳ヲ 傾ケルトハ
感心ナ 心掛ケダナ
[wait][clear][end]"
msg_15,"[color(yellow)][var(msg_var_0)][color(white)]
コノ老イボレノ 話ヲ聞イテクレルトハ…
嬉シイ事ダナ…
[wait][clear][end]"
msg_16,"[color(yellow)][var(msg_var_0)][color(white)]
ソウカ 我ノ話 聞キタイカ…
我モ マダ ステタモノデハ ナイナ…
[wait][clear][end]"
msg_17,"[color(yellow)][var(msg_var_0)][color(white)]
戯言ヲ…
我ヲ 愚弄スル 積モリカ！
[wait][clear][end]"
msg_18,"[color(yellow)][var(msg_var_0)][color(white)]
心ニモ無キ事ヲ…
我ニ 食ワレタクナクバ
早々ニ 止メヨ
[wait][clear][end]"
msg_19,"[color(yellow)][var(msg_var_0)][color(white)]
詰マラヌ興味ハ 身ヲ滅ボスゾ！
[wait][clear][end]"
msg_20,"[color(yellow)][var(msg_var_0)][color(white)]
ソ ソノ道具 武器デハ アルマイ…
[wait][clear][end]"
msg_21,"[color(yellow)][var(msg_var_0)][color(white)]
ウヌノ如キ 輩ハ 油断ナラヌ…
我ニ 近ヅカナイデ 頂キタイ…
[wait][clear][end]"
msg_22,"[color(yellow)][var(msg_var_0)][color(white)]
若キ 卜者ヨ…
占術ハ マサシク 当ルモ八卦当ラヌモ八卦
術ニ 溺レヌ様 気ヲツケル事ダ…
[wait][clear][end]"
msg_23,"[color(yellow)][var(msg_var_0)][color(white)]
ウヌハ 卜者カ…
ナルホド 神秘的ナ 力ヲ 感ジル…
[wait][clear][end]"
msg_24,"[color(yellow)][var(msg_var_0)][color(white)]
若キ 卜者ヨ…
占術ハ 神ノ声ヲ 伝エル 業
ヨリ清キ 心ガ 必要ダ！
[wait][clear][end]"
msg_25,"[color(yellow)][var(msg_var_0)][color(white)]
ソレガ 我ガ星ノ宿命カ…
面白イモノダ
[wait][clear][end]"
msg_26,"[color(yellow)][var(msg_var_0)][color(white)]
コレハ 面白イ事ヲ 教エテモラッタ
礼ヲ言ウゾ 若キ 卜者ヨ…
[wait][clear][end]"
msg_27,"[color(yellow)][var(msg_var_0)][color(white)]
ウヌノ如キ若僧ニ 宿命ナド読メルモノカ！
自惚レルナッ！！
[wait][clear][end]"
msg_28,"[color(yellow)][var(msg_var_0)][color(white)]
我ハ ウヌナドノ 考エガ及バヌ程
永イ永イ時ヲ 生キテキタノダ
今更 星ノ宿命ナド 教ワル必要ハ無イ！
[wait][clear][end]"
msg_29,"[color(yellow)][var(msg_var_0)][color(white)]
偉ソウニ…
神ノ声ヲ 聞イタトデモ 言ウ積モリカ！
片腹痛イワ！
[wait][clear][end]"
msg_30,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_31,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_32,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_33,"[color(yellow)][var(msg_var_0)][color(white)]
ナルホド…
ウヌノ生業ハ 咎人ヲ 探ス事カ…
ナラバ ウヌノ技 篤ト 拝見シヨウ
[wait][clear][end]"
msg_34,"[color(yellow)][var(msg_var_0)][color(white)]
若者ヨ…
咎人ノ 心ノ秘密 聞キ出ス 秘訣
其ハ 技ニアラズ 心ニコソ アル
[wait][clear][end]"
msg_35,"[color(yellow)][var(msg_var_0)][color(white)]
若キ捕吏ヨ…
手柄焦ラバ 鳥ヲ魚ト 見間違エル事モ アル
先ズハ 落チ着ク事ダ
[wait][clear][end]"
msg_36,"[color(yellow)][var(msg_var_0)][color(white)]
コレハコレハ 楽シキ 余興！
ウヌノ 推理劇 楽シマセテ 頂コウ！
[wait][clear][end]"
msg_37,"[color(yellow)][var(msg_var_0)][color(white)]
コレハ 愉快！
無実ノ我ヲ 如何ニ 言イ包メルカ
見物デアルナ！
[wait][clear][end]"
msg_38,"[color(yellow)][var(msg_var_0)][color(white)]
職務ニ忠実ナル 若者ヨ…
ウヌノ 真ッ直グナ 瞳
我ハ 気ニ入ッタゾ！
[wait][clear][end]"
msg_39,"[color(yellow)][var(msg_var_0)][color(white)]
戯言ヲ…
我ヲ謀ロウトハ 何事ゾ！
[wait][clear][end]"
msg_40,"[color(yellow)][var(msg_var_0)][color(white)]
ウヌノ 濁リキッタ 忌々シキ ソノ瞳！
我ヲ 咎人ト 映ストハ！
[wait][clear][end]"
msg_41,"[color(yellow)][var(msg_var_0)][color(white)]
愚策ヲモッテ 我ヲ陥レヨウトハ…
ソノ腐ッタ性根 我ガ 正シテクレル！
[wait][clear][end]"
msg_42,"[color(yellow)][var(msg_var_0)][color(white)]
我ハ 知ラヌ…
其ノ時刻 我ハ 女ナドトハ
会ッテオラヌ…
[wait][clear][end]"
msg_43,"[color(yellow)][var(msg_var_0)][color(white)]
シ 知ラヌ 被害者ノ女ナド…
[wait][clear][end]"
msg_44,"[color(yellow)][var(msg_var_0)][color(white)]
其レガ ウヌガ生業カ…
否定ハ セヌガ ソノ技
正シキ道デ 生カセヌ モノカ？
[wait][clear][end]"
msg_45,"[color(yellow)][var(msg_var_0)][color(white)]
我ガ声等 録リテ 如何スル積モリ…
ウヌガ真意 ドウシテモ 読メヌ
[wait][clear][end]"
msg_46,"[color(yellow)][var(msg_var_0)][color(white)]
目的ノ為ニハ 手段選バズカ…
ドウシタモノカ…
[wait][clear][end]"
msg_47,"[color(yellow)][var(msg_var_0)][color(white)]
オオ 其レガ 我ガ声カ！
生マレテ 初メテ聞イタワ！
礼ヲ 言ウゾ
[wait][clear][end]"
msg_48,"[color(yellow)][var(msg_var_0)][color(white)]
ナント 雄雄シキ 我ガ声！
素晴ラシイ！
[wait][clear][end]"
msg_49,"[color(yellow)][var(msg_var_0)][color(white)]
我ヲ 脅ソウトハ…
ナカナカ 見上ゲタモノ
会エテ 嬉シイゾ！
[wait][clear][end]"
msg_50,"[color(yellow)][var(msg_var_0)][color(white)]
下ラヌ画策！
ウヌガ如キ輩 一飲ミニ シテクレルゾ！
[wait][clear][end]"
msg_51,"[color(yellow)][var(msg_var_0)][color(white)]
ウヌガ奸計如キ 掛カル我ト思ウタカ！
コノ痴レ者メッ！
[wait][clear][end]"
msg_52,"[color(yellow)][var(msg_var_0)][color(white)]
ナント卑劣ナ！
ウヌノ性根 叩キ直シテクレヨウゾ！
[wait][clear][end]"
msg_53,"[color(yellow)][var(msg_var_0)][color(white)]
悪魔ヲ 脅ストハ…
末恐ロシキ 人間…
[wait][clear][end]"
msg_54,"[color(yellow)][var(msg_var_0)][color(white)]
何トイウ事…
マサカ 人間ニ 脅サレヨウトハ…
[wait][clear][end]"
msg_55,"[color(yellow)][var(msg_var_0)][color(white)]
実ニ恐ロシキハ 初メテ聞ク我ガ声カナ…
[wait][clear][end]"
msg_56,"[color(yellow)][var(msg_var_0)][color(white)]
若者ヨ
燃エテイルナ…
[wait][clear][end]"
msg_57,"[color(yellow)][var(msg_var_0)][color(white)]
若キ頃ノ 熱キ情熱モ トモスレバ
寄ル年波ニ 冷マサレテシマウ…
常ニ 燃ユル情熱ガ 必要ダ
[wait][clear][end]"
msg_58,"[color(yellow)][var(msg_var_0)][color(white)]
青年ハ 荒野ヲ目指ス…
語ルダケデナク 先ズ
自ラ歩ミ出ス事モ 必要ダナ
[wait][clear][end]"
msg_59,"[color(yellow)][var(msg_var_0)][color(white)]
ウヌノ如キ 頼モシキ青年ニ 出会エ
我ハ 神ニ 感謝セネバ ナルマイナ…
[wait][clear][end]"
msg_60,"[color(yellow)][var(msg_var_0)][color(white)]
ソノ情熱 我ニモ伝ワッテクル…
快キ感覚ダナ…
[wait][clear][end]"
msg_61,"[color(yellow)][var(msg_var_0)][color(white)]
実ニ 痛快ナル意見！
天晴デアル！
[wait][clear][end]"
msg_62,"[color(yellow)][var(msg_var_0)][color(white)]
口先ダケナラ 何トデモ 言エルワ！
[wait][clear][end]"
msg_63,"[color(yellow)][var(msg_var_0)][color(white)]
思イ上ガルナ 人間ヨ！
[wait][clear][end]"
msg_64,"[color(yellow)][var(msg_var_0)][color(white)]
我ハ [var(msg_var_0)]！！
ウヌニ 教ワル事ナド 何モ 無イワ！
[wait][clear][end]"
msg_65,"[color(yellow)][var(msg_var_0)][color(white)]
出ない様に個性又は表の変更を要する
[wait][clear][end]"
msg_66,"[color(yellow)][var(msg_var_0)][color(white)]
出ない様に個性又は表の変更を要する
[wait][clear][end]"
msg_67,"[color(yellow)][var(msg_var_0)][color(white)]
出ない様に個性又は表の変更を要する
[wait][clear][end]"
msg_68,"[color(yellow)][var(msg_var_0)][color(white)]
人間ニトリテ 衣服ハ 文化
ウヌハ 文化ノ 担イ手ト イウトコロダナ…
[wait][clear][end]"
msg_69,"[color(yellow)][var(msg_var_0)][color(white)]
人間ヨ…
ドノ様ナ道モ 高ミヲ望メバ 険シキモノ
精進スルコトダ！
[wait][clear][end]"
msg_70,"[color(yellow)][var(msg_var_0)][color(white)]
コレハ 愉快！
面白キ 余興 礼ヲ言オウ！
[wait][clear][end]"
msg_71,"[color(yellow)][var(msg_var_0)][color(white)]
美シキ者ヲ見ルハ 目ノ薬
実ニ 良キ物 見ル事ガ出来タ
[wait][clear][end]"
msg_72,"[color(yellow)][var(msg_var_0)][color(white)]
実ニ 下ラヌ余興！
[wait][clear][end]"
msg_73,"[color(yellow)][var(msg_var_0)][color(white)]
詰マラヌ事ニ 我ガ時ヲ浪費サセラレ
我ハ 気分ヲ 害シタゾ！
[wait][clear][end]"
msg_74,"[color(yellow)][var(msg_var_0)][color(white)]
見タ目ノミヲ飾ル 文化ナド 実ニ低俗！
ウヌノ如キハ 無用ノ存在ゾ！
[wait][clear][end]"
msg_75,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_76,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_77,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_78,"[color(yellow)][var(msg_var_0)][color(white)]
ソノ瞳ノ輝キ…
ウヌニ 大キナ 力ヲ 感ジル…
[wait][clear][end]"
msg_79,"[color(yellow)][var(msg_var_0)][color(white)]
何故 我ヲ見ツメル…
[wait][clear][end]"
msg_80,"[color(yellow)][var(msg_var_0)][color(white)]
ソノ瞳…
気ニナル…
[wait][clear][end]"
msg_81,[end]
msg_82,[end]
msg_83,[end]
msg_84,"[color(yellow)][var(msg_var_0)][color(white)]
何ヲ 見テイル！
[wait][clear][end]"
msg_85,"[color(yellow)][var(msg_var_0)][color(white)]
我ヲ 睨ラムトハ…
何様ノ 積モリ！
[wait][clear][end]"
msg_86,"[color(yellow)][var(msg_var_0)][color(white)]
ソノ行為 早々ニ 止メヌナラバ
永遠ニ 瞳 輝キヲ 失ウ事ト ナルゾ
[wait][clear][end]"
msg_87,"[color(yellow)][var(msg_var_0)][color(white)]
ワ 我ニ 恐怖ヲ感ジヌト言ウノカ
何トイウ事ッ！
[wait][clear][end]"
msg_88,"[color(yellow)][var(msg_var_0)][color(white)]
禍禍シク 輝ク ソノ 瞳…
恐ロシイ…
[wait][clear][end]"
msg_89,"[color(yellow)][var(msg_var_0)][color(white)]
美シサナド 人ノ主観デ 決マルモノ
一概ニ ドチラガ美シイナドトハ 言エヌ
外見デハナク 内面ヲ磨ク事ダ
[wait][clear][end]"
msg_90,"[color(yellow)][var(msg_var_0)][color(white)]
美シキ娘達ヨ…
ウヌ等ニ 優劣ナド ツケラレヌ
[wait][clear][end]"
msg_91,"[color(yellow)][var(msg_var_0)][color(white)]
美ノ基準ナド 時ト共ニ 移ロウモノ…
世ノ流レニ トラワレズ 常ニ 心美シキ者コソ
真ニ 美シキ者ダ
[wait][clear][end]"
msg_92,"[color(yellow)][var(msg_var_0)][color(white)]
我ニ 判断ヲ委ネルカ…
悪イ気ハ セヌ…
[wait][clear][end]"
msg_93,"[color(yellow)][var(msg_var_0)][color(white)]
ソノ様ナ台詞 久々ニ聞イタ
若キ頃 シバシバ尋ネラレタモノダナ…
[wait][clear][end]"
msg_94,"[color(yellow)][var(msg_var_0)][color(white)]
コノ 老イボレノ 好ミヲ 知リタイト…
嬉シイ限リデ アルナ
[wait][clear][end]"
msg_95,"[color(yellow)][var(msg_var_0)][color(white)]
実ニ 低俗ナ争イ！
我ハ 興味スラ無イワ！
[wait][clear][end]"
msg_96,"[color(yellow)][var(msg_var_0)][color(white)]
ナント醜キ見栄ノ ブツカリ合イ
時間ノ 無駄ダ！
[wait][clear][end]"
msg_97,"[color(yellow)][var(msg_var_0)][color(white)]
下ラヌ争イニ 我ヲ捲キ込ムナ！
我ハ 気分ヲ害シタ！
[wait][clear][end]"
msg_98,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_99,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_100,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_101,"[color(yellow)][var(msg_var_0)][color(white)]
ソノ 言葉 嘘ハ無イ様…
ナニ…
目ヲ見レバ 判ル事…
[wait][clear][end]"
msg_102,"[color(yellow)][var(msg_var_0)][color(white)]
人間ヨ…
何ガ ウヌ等ヲ ソコマデ
優シク サセルノダ？
[wait][clear][end]"
msg_103,"[color(yellow)][var(msg_var_0)][color(white)]
コノ我ト対峙シ 恐怖ニ慄ク事無ク
アマツサエ 我ノ心配マデシヨウトハ…
見上ゲタモノダナ
[wait][clear][end]"
