﻿msg_0,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_1,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_2,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_3,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_4,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_5,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_6,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_7,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_8,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_9,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_10,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_11,"[color(yellow)][var(msg_var_0)][color(white)]
[wait][clear][end]"
msg_12,"[color(yellow)][var(msg_var_0)][color(white)]
ぼくのコトが、きになるんだね？
ふふふふふ…
[wait][clear][end]"
msg_13,"[color(yellow)][var(msg_var_0)][color(white)]
そんなコトいっちゃって…
ホントは、ぼくとあそびたいんだよね？
ふふふふふ…
[wait][clear][end]"
msg_14,"[color(yellow)][var(msg_var_0)][color(white)]
ぼくのコト、しりたいの？
ぼくもおねえちゃんのコト、しりたいなぁ…
[wait][clear][end]"
msg_15,"[color(yellow)][var(msg_var_0)][color(white)]
ふろーのえらーだぞ！
[wait][clear][end]"
msg_16,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
コドモだからって、ばかにしてるだろー！
ユルせないんだよなーっ！！
[wait][clear][end]"
msg_17,"[color(yellow)][var(msg_var_0)][color(white)]
なんなの、それ！
ぼくもう、おこっちゃうよ、ホントに！！
[wait][clear][end]"
msg_18,"[color(yellow)][var(msg_var_0)][color(white)]
へんなもの、むけないでよ！
ケガとかしたら、どーするのさ！！
[wait][clear][end]"
msg_19,"[color(yellow)][var(msg_var_0)][color(white)]
コ、コワいよーっ！
[wait][clear][end]"
msg_20,"[color(yellow)][var(msg_var_0)][color(white)]
あ…わ…わ…
お、おばあちゃぁ～ん！！
[wait][clear][end]"
msg_21,"[color(yellow)][var(msg_var_0)][color(white)]
そ、それで、ぼくのあたま…
たたくの！？
ひ、ひゃあぁぁぁ…
[wait][clear][end]"
msg_22,"[color(yellow)][var(msg_var_0)][color(white)]
ふんふん…
そうなんだぁ…
[wait][clear][end]"
msg_23,"[color(yellow)][var(msg_var_0)][color(white)]
うらないって、おもしろそう！
ぼくも、やってみたいなぁ…
[wait][clear][end]"
msg_24,"[color(yellow)][var(msg_var_0)][color(white)]
それってホントにあたるのかな…
ふふふふふ…
[wait][clear][end]"
msg_25,"[color(yellow)][var(msg_var_0)][color(white)]
ヒャハハハハッ！
へぇ～んなのっ！
[wait][clear][end]"
msg_26,"[color(yellow)][var(msg_var_0)][color(white)]
ヒャハハハハッ！
うらないだってぇ！
ばっかみた～い！
[wait][clear][end]"
msg_27,"[color(yellow)][var(msg_var_0)][color(white)]
ヒャハハハハッ！
おっもしろ～い！
[wait][clear][end]"
msg_28,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
テキトーなコト、いわないでよ！！
ぼくもう、おこっちゃうよ、ホントに！！
[wait][clear][end]"
msg_29,"[color(yellow)][var(msg_var_0)][color(white)]
うらないなんて、あたるワケないだろー！
にんげんって、やっぱりばかだよ！！
[wait][clear][end]"
msg_30,"[color(yellow)][var(msg_var_0)][color(white)]
ふんふん…
そんなオンナのヒト、ぼくしらないよ…
でもちょっと、きになるんだよなぁ…
[wait][clear][end]"
msg_31,"[color(yellow)][var(msg_var_0)][color(white)]
そんなコトいっちゃって…
ぼくと、おともだちになりたいんだよね？
ふふふふふ…
[wait][clear][end]"
msg_32,"[color(yellow)][var(msg_var_0)][color(white)]
ふんふん…
ぼく、またわるいコトしちゃったのかなぁ…
あ～あ、またパパにホメられちゃうよ！
[wait][clear][end]"
msg_33,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
そんなオンナのヒト、しらないってば！
ヘンなコトいわないでよー！！
[wait][clear][end]"
msg_34,"[color(yellow)][var(msg_var_0)][color(white)]
そ、そんなあ…
うっ、うっ、うわあ～ん！！
[wait][clear][end]"
msg_35,"[color(yellow)][var(msg_var_0)][color(white)]
そんなオンナのヒト…
ぼ、ぼくしらないってばぁ…
[wait][clear][end]"
msg_36,"[color(yellow)][var(msg_var_0)][color(white)]
どうして、ぼくのこえがはいってるのかなぁ…
ふしぎなハコだなぁ…
[wait][clear][end]"
msg_37,"[color(yellow)][var(msg_var_0)][color(white)]
なんでぼくのこえ、もってるのさ！
おじちゃんって「へんたい」じゃないのっ！？
[wait][clear][end]"
msg_38,"[color(yellow)][var(msg_var_0)][color(white)]
ぼ、ぼく…
なんにも、わるいコトしてないのに…
ふ、ふえっ、ふえっ…
[wait][clear][end]"
msg_39,"[color(yellow)][var(msg_var_0)][color(white)]
ふんふん…
おじちゃんって、ふしぎなコトバ
たくさんしってるんだね…
[wait][clear][end]"
msg_40,"[color(yellow)][var(msg_var_0)][color(white)]
ふんふん…
そうなんだぁ…
よくわかんないけど、なんかすごいね！
[wait][clear][end]"
msg_41,"[color(yellow)][var(msg_var_0)][color(white)]
おじちゃんって、アタマがいいんだね！
ぼく、あこがれちゃうな～っ！！
[wait][clear][end]"
msg_42,"[color(yellow)][var(msg_var_0)][color(white)]
にんげんっておもしろいんだね！
ぼく、きにいっちゃったよぉ！
[wait][clear][end]"
msg_43,"[color(yellow)][var(msg_var_0)][color(white)]
なんなの、それ！
ぜんっぜん、おもしろくないよ！！
[wait][clear][end]"
msg_44,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
コトバがむずかしくって
ぜんっぜん、わかんないよ！！
[wait][clear][end]"
msg_45,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
ヘンなコトいってないで
ぼくと、ちゃんとあそんでよーっ！！
[wait][clear][end]"
msg_46,"[color(yellow)][var(msg_var_0)][color(white)]
ふんふん…
キレイだなぁ…
ぼくもそのフク、きてみたいなぁ…
[wait][clear][end]"
msg_47,"[color(yellow)][var(msg_var_0)][color(white)]
ふんふん…
おもしろいなぁ…
[wait][clear][end]"
msg_48,"[color(yellow)][var(msg_var_0)][color(white)]
なんだか、みとれちゃうなぁ…
ぼく、どうしちゃったのかなぁ？
[wait][clear][end]"
msg_49,"[color(yellow)][var(msg_var_0)][color(white)]
わあ、キレイだなあ！
ぼく、オンナのヒトって
だあいすきぃっ♥
[wait][clear][end]"
msg_50,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
おねえちゃんのフクなんて
ぜんっぜんキョウミないよ！！
[wait][clear][end]"
msg_51,"[color(yellow)][var(msg_var_0)][color(white)]
ああっ！
なんだかドキドキしてきたよ！！
な、なんでかなぁ…？
[wait][clear][end]"
msg_52,"[color(yellow)][var(msg_var_0)][color(white)]
なんでジロジロみるのさ！
きもちわるいなあ、もうっ！
[wait][clear][end]"
msg_53,"[color(yellow)][var(msg_var_0)][color(white)]
あれあれっ？
なんで、ぼくにきいてくれたのかなっ？
きになるんだよなぁ…
[wait][clear][end]"
msg_54,"[color(yellow)][var(msg_var_0)][color(white)]
あのねぇ、ぼくねぇ…
おりょうりのじょうずなヒトがいいなぁ…
[wait][clear][end]"
msg_55,"[color(yellow)][var(msg_var_0)][color(white)]
どっちもけっこう、びじんだけど…
うちのママがイチバンだねっ！
[wait][clear][end]"
msg_56,"[color(yellow)][var(msg_var_0)][color(white)]
ヒャハハハハッ！
えらんだほうのおねえちゃんが「だっこ」
してくれるんだよネ！ …あれ？ ちがうの！？
[wait][clear][end]"
msg_57,"[color(yellow)][var(msg_var_0)][color(white)]
あっ…
ぼくにきいてくれたのっ！？
うっれしいなあ！！
[wait][clear][end]"
msg_58,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
ホントにびじんなヒトは
そんなコト、きかないとおもうよ！！
[wait][clear][end]"
msg_59,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
そんなコト、どーでもいいよ！
ぼくの「しったこと」じゃないよ！
[wait][clear][end]"
msg_60,"[color(yellow)][var(msg_var_0)][color(white)]
ふんふん…
にんげんは「なやみ」がおおいんだってねぇ？
おばあちゃんが、そういってたよ…
[wait][clear][end]"
msg_61,"[color(yellow)][var(msg_var_0)][color(white)]
にんげんって、やさしいんだね！
ぼくもう、だあいすきぃ♥
[wait][clear][end]"
msg_62,"[color(yellow)][var(msg_var_0)][color(white)]
ヒャハハハハッ！
うっれしいなあ！
[wait][clear][end]"
msg_63,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
にんげんなんかに、ぼくの「なやみ」を
はなすもんかーっ！！
[wait][clear][end]"
msg_64,"[color(yellow)][var(msg_var_0)][color(white)]
「いんたびゅー」って、おもしろそうだなぁ…
ぼくも、やってみたいなぁ…
[wait][clear][end]"
msg_65,"[color(yellow)][var(msg_var_0)][color(white)]
ねぇねぇ、おねえちゃん！
こんどは、ぼくにも
いんたびゅーっ！！
[wait][clear][end]"
msg_66,"[color(yellow)][var(msg_var_0)][color(white)]
なんでぼくをムシするのさ！！
インタビューなら、ぼくがさきだろーっ！！
[wait][clear][end]"
msg_67,"[color(yellow)][var(msg_var_0)][color(white)]
ふしぎなかんじの、おどりだなぁ…
なんだかホカホカしてきたよ…
[wait][clear][end]"
msg_68,"[color(yellow)][var(msg_var_0)][color(white)]
そのおどり、カッコいいなぁ！
ぼくもう、クギヅケだよぉ！
[wait][clear][end]"
msg_69,"[color(yellow)][var(msg_var_0)][color(white)]
ヘンなおどり、おどらないでよ！！
きもちわるいなあ、もうっ！！
[wait][clear][end]"
msg_70,"[color(yellow)][var(msg_var_0)][color(white)]
きをつかってくれてるんだね？
でも、ぼくってアクマだから…
[wait][clear][end]"
msg_71,"[color(yellow)][var(msg_var_0)][color(white)]
ヒャハハハハッ！
ぼくもう、アクマやめちゃおっかなあ…
あっ、ウソウソ！ パパにころされちゃうよ！
[wait][clear][end]"
msg_72,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
にんげんとアクマは、ちがうんだよ！！
ほっといてほしいなっ！！
[wait][clear][end]"
msg_73,"[color(yellow)][var(msg_var_0)][color(white)]
「せいぎのみかた」もたいへんなんだね…
ぼく、ドウジョウしちゃうなぁ…
[wait][clear][end]"
msg_74,"[color(yellow)][var(msg_var_0)][color(white)]
おじちゃん…
なんだか、うれしそうだね！
[wait][clear][end]"
msg_75,"[color(yellow)][var(msg_var_0)][color(white)]
おじちゃんたちって「せいぎのみかた」！？
うわあっ、カッコい～！！
あくしゅして～っ！！
[wait][clear][end]"
msg_76,"[color(yellow)][var(msg_var_0)][color(white)]
ぼくもおにいちゃん、ほしいなぁ…
おにいちゃんとケンカとか、してみたいなぁ…
[wait][clear][end]"
msg_77,"[color(yellow)][var(msg_var_0)][color(white)]
おにいちゃんがいるのって
どんなかんじなのかなぁ…？
[wait][clear][end]"
msg_78,"[color(yellow)][var(msg_var_0)][color(white)]
ヒャハハハハッ！
おにいちゃん、カッコい～！
あこがれちゃうんだよなぁ！
[wait][clear][end]"
msg_79,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
きょうだいでベタベタしないでよ！！
いいトシして、はずかしくないのーっ！？
[wait][clear][end]"
msg_80,"[color(yellow)][var(msg_var_0)][color(white)]
ふんふん…
うちのおじいちゃんも
おさけ、すきなんだよなぁ…
[wait][clear][end]"
msg_81,"[color(yellow)][var(msg_var_0)][color(white)]
ヒャハハハハッ！
にんげんも、おさけのむんだ！
おっもしろ～い！！
[wait][clear][end]"
msg_82,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
おさけのおはなしなんて、おもしろくないよ！！
あ～あ、なんだかソンしたきぶんっ！！
[wait][clear][end]"
msg_83,"[color(yellow)][var(msg_var_0)][color(white)]
どうしてそんなにコダワルのかなぁ…
オトナって、ヘンだよなぁ…
[wait][clear][end]"
msg_84,"[color(yellow)][var(msg_var_0)][color(white)]
ヒャハハハハッ！
クチゲンカはいいけどっ
かみついちゃダメだよぉ～っ！！
[wait][clear][end]"
msg_85,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
オトナってヘンだよ！
なんでそんなコトでケンカするのさ！！
[wait][clear][end]"
msg_86,"[color(yellow)][var(msg_var_0)][color(white)]
ふんふん…
おじちゃんって、ふしぎなコトいうね！
つかれてるのかなぁ…
[wait][clear][end]"
msg_87,"[color(yellow)][var(msg_var_0)][color(white)]
ヒャハハハハッ！
ぼくも、オトナになったら
おじちゃんみたいになるのかなぁ～？
[wait][clear][end]"
msg_88,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
なんでそんなコトいうのさ！
オトナって、ヨワムシだよ！！
[wait][clear][end]"
msg_89,"[color(yellow)][var(msg_var_0)][color(white)]
ヒャハハハハッ！
にんげんって、たいへんみたいだね！
ぼく、アクマにうまれてよかったよ！
[wait][clear][end]"
msg_90,"[color(yellow)][var(msg_var_0)][color(white)]
もうっ！
むずかしいコトきかないでよ！！
そんなの、ぼくにわかるワケないだろーっ！！
[wait][clear][end]"
msg_91,"[color(yellow)][var(msg_var_0)][color(white)]
おじちゃんたちって、すなおじゃないネ！
ぼくのコトが、きになるくせにぃ…
[wait][clear][end]"
