﻿msg_0,"このままじゃハングします。
[wait][clear][end]"
msg_1,"[color(yellow)]うらら[color(white)]
ありゃ…なんだコイツ、
私のこと睨んでるよ。
食っちゃうぞ～
[wait][clear][end]"
msg_2,"[color(yellow)]うらら[color(white)]
あの板さん、いっさましいねぇ～
街の人が皆ああならいいんだけど…
それもうるさいかな？
[wait][clear][end]"
msg_3,"[color(yellow)]うらら[color(white)]
こりゃ、太郎！お前元気か？
お前美味そう～
俺様丸呑み！
[wait][clear][end]"
msg_4,"[color(yellow)]うらら[color(white)]
マーヤも複雑な心境なんじゃない？
だって向こうの世界じゃ、死んじゃってんのよ。
…まぁ…実感無いかも知れないけどさ。
[wait][clear][end]"
msg_5,"[color(yellow)]うらら[color(white)]
太郎…元気か？街が飛んでるよ～
お前には分からないだろうけどさ…
私が何とかすっからねぇ～
[wait][clear][end]"
msg_6,"[color(yellow)]うらら[color(white)]
ねぇマーヤ、
この魚、買って帰ってもいいかな？
[end]"
msg_7,"しょ…食用じゃないよ！飼うんだから！
[wait][clear][end]"
msg_8,"[color(yellow)]克哉[color(white)]
スニーク…か。
聞き覚えのある声とは思っていたが…
なぜすぐに気付かなかったんだ僕は！
[wait][clear][end]"
msg_9,"[color(yellow)]克哉[color(white)]
ここでパニックを起こせば、
それこそ奴らの思うツボだ。
どうにかできないものか…
[wait][clear][end]"
msg_10,"[color(yellow)]克哉[color(white)]
[tatsuya]の奴、がってん寿司を見たとき
随分と驚いてたな…
どうしたんだ？
[wait][clear][end]"
msg_11,"[color(yellow)]克哉[color(white)]
そうか…
「向こう側」では、この寿司屋は平坂区に
あったのか…
[wait][clear][end]"
msg_12,"[color(yellow)]克哉[color(white)]
嵯峨の奴…
[tatsuya]をうまく引き止めてくれた事は感謝するが、
貯金の事までバラさなくてもいいだろうに…
[wait][clear][end]"
msg_13,"[color(yellow)]克哉[color(white)]
うまく神事とやらを食いとめたとしても、
それからどうする？
この街、下ろす事はできるのか？
[wait][clear][end]"
msg_14,"[color(yellow)]克哉[color(white)]
親父さんや栄吉君、みんなのためにも…
負けるわけにはいかないぞ…天野君。
[wait][clear][end]"
msg_15,"[color(yellow)]パオフゥ[color(white)]
芹沢は何してんだ？
気でもふれたか？
[wait][clear][end]"
msg_16,"[color(yellow)]パオフゥ[color(white)]
俺達は、
あのイケスの魚と同じかも知れねぇな…
…嫌になってくるぜ。
[wait][clear][end]"
msg_17,"[color(yellow)]パオフゥ[color(white)]
芹沢の奴、またやってるのか？
イケスの魚に名前つけてどうする気だ？
[wait][clear][end]"
msg_18,"[color(yellow)]パオフゥ[color(white)]
へへへ、
[suou]はだいぶご立腹のようだな。
まぁ、眼には眼を…ってやつだ。
[wait][clear][end]"
msg_19,"[color(yellow)]パオフゥ[color(white)]
芹沢の奴、話しかけているうちに
情が湧いたそうだ。
ありゃ買い取るんじゃねえか？
[wait][clear][end]"
msg_20,"[color(yellow)]パオフゥ[color(white)]
結局、云豹も、あの竜蔵も、ニャルとかいうヤツの
手駒に過ぎなかったって事か…
舐めたマネしてくれるじゃねぇか…
[wait][clear][end]"
msg_21,"[color(yellow)]南条[color(white)]
一つの講演会を叩いたところで、
効果は期待できない…か。
既に何人洗脳されてしまっているんだ…
[wait][clear][end]"
msg_22,"[color(yellow)]南条[color(white)]
あの栄吉という少年は、
ここの息子のようですが…
まだ帰ってきていないのか…
[wait][clear][end]"
msg_23,"[color(yellow)]南条[color(white)]
そうか…城戸は行ってしまったか。
神取の事、できれば俺の口から伝えたかったが…
また、いずれ会うこともあるだろう。
[wait][clear][end]"
msg_24,"[color(yellow)]エリー[color(white)]
講演会を一つ叩いただけでは、
あまり効果は期待できませんわね…
もう何人の人が洗脳されてしまったのかしら…
[wait][clear][end]"
msg_25,"[color(yellow)]エリー[color(white)]
Ｎｏ…ウニを見てたら、
あのドロドロを思い出してしまって…
ちょっと食欲Ｄｏｗｎですわ…
[wait][clear][end]"
msg_26,"[color(yellow)]エリー[color(white)]
あそこにいるのは、Ｒｅｉｊｉですわ！
彼も昔の仲間なんですの。
まさかこんな所で会えるなんて。
[wait][clear][end]"
msg_27,"[color(yellow)]エリー[color(white)]
Ｗａｎｇｌｏｎｇ千鶴…
私、少しだけ彼女が羨ましいんです。
[wait][clear][end]"
msg_28,"[color(yellow)]エリー[color(white)]
…どうやらＲｅｉｊｉは
行ってしまったようですわね。
またいつか会えるかしら…
[wait][clear][end]"
msg_29,"[color(yellow)][tatsuya][color(white)]
な…なんで、がってん寿司が蓮華台に…
平坂区じゃなかったのか…
[wait][clear][end]"
msg_30,"[color(yellow)][tatsuya][color(white)]
舞耶姉…
ここが栄吉の家だって、覚えてるか…？
栄吉…いないのか…
[wait][clear][end]"
msg_31,"[color(yellow)][tatsuya][color(white)]
このトリフネの姿は、
「向こう側」に出現したシバルバーと同じなんだ。
このままじゃ、街の人達の記憶が…
[wait][clear][end]"
msg_32,"[color(yellow)][tatsuya][color(white)]
栄吉…
絶対、終わらせる…
待ってろ…
[wait][clear][end]"
msg_33,"[color(yellow)]噂屋トロ[color(white)]
何を隠そう、僕は凄腕のセールスマンなんだけど、
職業がら、噂話にくわしくなっちゃってね。
今じゃ「噂屋」なんて呼ばれてるんだ。
[wait][clear][end]"
