﻿msg_0,"[color(yellow)]受付嬢[color(white)]
あ、舞耶。
友達なら、まだ見えてないわよ。
[wait][clear][end]","[color(yellow)]안내데스크 직원[color(white)]
아, 마야.
친구라면, 아직 안 왔어.
[wait][clear][end]"
msg_1,"[color(yellow)]うらら[color(white)]
チャ～オ、マーヤ。
んじゃ、気ばって行くかんねぇ～
絶っ対、イイ男捕まえんのよ！
[sync][wait][clear][end]","[color(yellow)]우라라[color(white)]
챠~오, 마야.
그럼, 기운 내서 가보자고~
무조~건, 멋진 남자 낚아야 해!
[sync][wait][clear][end]"
msg_2,"[color(yellow)]芹沢うらら（せりざわうらら）[color(green)]
女性用下着メーカーに勤める、舞耶の親友。
占い好きの化粧美人で、
男運が悪いことを気に病んでいる。
[sync][wait][clear][end]","[color(yellow)]세리자와 우라라[color(green)]
여성용 속옷 제조사에 근무하는 마야의 절친.
점술을 좋아하는 화장발 미인으로,
남자 운이 없는 것을 몹시 고민하고 있다.
[sync][wait][clear][end]"
msg_3,"[color(yellow)]うらら[color(white)]
なにぃ～！？
仕事で行けなくなったぁ～！？
[sync][wait][clear][end]","[color(yellow)]우라라[color(white)]
뭐어~!?
일 때문에 못 가게 됐다고~!?
[sync][wait][clear][end]"
msg_4,"[color(yellow)]うらら[color(white)]
ちょっとアンタ、
初めっから行く気なかったんじゃないの！？
[sync][wait][clear][end]","[color(yellow)]우라라[color(white)]
잠깐 너,
처음부터 갈 생각 없었던 거 아니야!?
[sync][wait][clear][end]"
msg_5,"[color(yellow)]うらら[color(white)]
あ、わかった。
例のデジャ・ヴュの少年が気になってんでしょ？
かぁ～やめときなって！
[sync][wait][clear][end]","[color(yellow)]우라라[color(white)]
아, 알았다.
그 '데자뷔 소년'이 신경 쓰여서 그러는 거지?
하아~ 관두라니까!
[sync][wait][clear][end]"
msg_6,"[color(yellow)]うらら[color(white)]
大体、なんで駅前で１回ぶつかっただけの年下に、
そんなに入れ込むかねぇ～
いくら、前に会った気がするったってさぁ…
[sync][wait][clear][end]","[color(yellow)]우라라[color(white)]
대체, 왜 역 앞에서 한 번 부딪혔을 뿐인
연하남한테 그렇게까지 열을 올리는 걸까~
아무리 예전에 만난 적이 있는 것 같다고는 해도 말이야…
[sync][wait][clear][end]"
msg_7,"[color(yellow)]うらら[color(white)]
なに、本当に仕事なの？
七姉妹学園で、ＪＯＫＥＲの噂取材？
[sync][wait][clear][end]","[color(yellow)]우라라[color(white)]
뭐야, 정말로 일 때문이야?
칠자매 학원에서 JOKER 소문 취재?
[sync][wait][clear][end]"
msg_8,"[color(yellow)]うらら[color(white)]
あ～もう、しゃーないな、ホレ！
ちゃっちゃっと済ませば、まだ間に合うわ。
手伝ってあげっから、急ぐのよぅ！！
[sync][wait][clear][end]","[color(yellow)]우라라[color(white)]
아~ 정말, 어쩔 수 없네, 자!
후다닥 끝내면 아직 늦지 않아.
도와줄 테니까, 서두르는 거야!!
[sync][wait][clear][end]"
msg_9,"[color(yellow)]うらら[color(white)]
ホラ見てみ、ワンロン占いでも
「今日は運命の出会いの日」って出てんのよ。
絶対、パーティ行くかんね！
[sync][wait][clear][end]","[color(yellow)]우라라[color(white)]
이것 봐, 왕룡 점술에서도
「오늘은 운명의 만남이 있는 날」이라고 나왔단 말이야.
무조건 파티 가는 거다!
[sync][wait][clear][end]"
msg_10,"[color(yellow)]受付嬢[color(white)]
どうしたの舞耶？へぇ～
取材で、お見合いパーティー行けなくなったの？
あのお局様、ほんとイジワルよねぇ。
[wait][clear][end]","[color(yellow)]안내데스크 직원[color(white)]
왜 그래, 마야? 헤에~
취재 때문에 맞선 파티에 못 가게 된 거야?
그 노처녀 상사, 진짜 심술궂다니까.
[wait][clear][end]"
msg_11,"[color(yellow)]非常口[color(green)]
ここには入れない。[color(white)]
[sync][wait][clear][end]","[color(yellow)]비상구[color(green)]
여기로는 들어갈 수 없다.[color(white)]
[sync][wait][clear][end]"
