﻿msg_0,"このままじゃハングします。
[wait][clear][end]"
msg_1,"[color(yellow)]うらら[color(white)]
ねえマーヤ。
あの時計台で私達を助けてくれたの、
例のデジャ・ヴュの少年なんでしょ？
[wait][clear][end]"
msg_2,"[color(yellow)]うらら[color(white)]
本当に心当たり無いの？
駅でぶつかっただけの子が、そんな事してくれる？
よっく考えてごらんよ。
[wait][clear][end]"
msg_3,"[color(yellow)]うらら[color(white)]
ウキーッ、私だったら、
一度見た男の顔は絶対に忘れないんだけどねぇ。
特にあの牧村の顔は！！
[wait][clear][end]"
msg_4,"[color(yellow)]うらら[color(white)]
そういやマーヤ、
ここの店、あんたんトコの雑誌に書いてなかった？
三ツ星のお寿司屋さんだって。
[wait][clear][end]"
msg_5,"[color(yellow)]うらら[color(white)]
あ…あのさ…マーヤ。
その…私がもしもＪＯＫＥＲ呪いを…
[end]"
msg_6,"い、いや、なんでもない。なんでもないよ。
[wait][clear][end]"
msg_7,"[color(yellow)]うらら[color(white)]
私はマーヤ達のおかげで元に戻れたけど…
他の人達はどうなっちゃうの？
放っといたら、ＪＯＫＥＲ呪いした人みんな…
[wait][clear][end]"
msg_8,"[color(yellow)]うらら[color(white)]
パオの奴が、２５人も殺してるって…
あれマジかな？そう悪い奴とも思えないけど…
あ、これがアレよ。女の勘ってヤツ。
[wait][clear][end]"
msg_9,"[color(yellow)]うらら[color(white)]
こうなったらマーヤ、私らも噂で対抗だよ。
ワンロン千鶴は嘘つきだァ…っとか、
穢れなんかあるもんかァ…っとか広めてさァ…
[wait][clear][end]"
msg_10,"[color(yellow)]うらら[color(white)]
…ダメか…
んな噂広がるわきゃ無いし…
時間も無いしねぇ。
[wait][clear][end]"
msg_11,"[color(yellow)]克哉[color(white)]
天野君が時計台で見たという少年…
デジャ・ヴュの少年と言っているが、一体何者だ？
何か事件の事を知っているのか？
[wait][clear][end]"
msg_12,"[color(yellow)]克哉[color(white)]
それにしても、
まだ日も高いうちから寿司とはキミも豪儀だな。
記者というのは、そんなに収入が良いのか？
[wait][clear][end]"
msg_13,"[color(yellow)]克哉[color(white)]
ペルソナの共鳴…か…
パオフゥに言われるまで意識した事はなかったが…
この力が取り調べでも使えれば便利なのだが。
[wait][clear][end]"
msg_14,"[color(yellow)]克哉[color(white)]
それにしても、[tatsuya]の奴は一体何を隠している？
アイツだけは、須藤竜也の言っていることを
理解していた。なぜだ…
[wait][clear][end]"
msg_15,"[color(yellow)]克哉[color(white)]
ん？
なんだか様子がへんだな…
ここで何かあったのか？
[wait][clear][end]"
msg_16,"[color(yellow)]克哉[color(white)]
ここの息子の帰りが遅いそうだ。
ＪＯＫＥＲ事件が多発している時だしな…
何事も無ければいいが。
[wait][clear][end]"
msg_17,"[color(yellow)]克哉[color(white)]
講演会に参加しなくては、
いずれＪＯＫＥＲ憑きになってしまう…か。
[wait][clear][end]"
