﻿msg_0,"[color(yellow)]うらら[color(white)]
だいじょぶだって！
ホ～ラ、誰もいない…
[sync][wait][clear][end]"
msg_1,"[color(yellow)]うらら[color(white)]
って…ぎゃぁぁぁぁ！？
う、う、う、うでうでうでうで…
[sync][wait][clear][end]"
msg_2,"[color(yellow)]ストーカー[color(white)]
うひ、うひ、うひ、うひぃ～
[sync][wait][clear][end]"
msg_3,"[color(yellow)]エリー[color(white)]
Ｎｏ…Ｎｏ…ＮｏＮｏＮｏ！！
[end]"
msg_4,"Ｉ’ｍｆｅｄｕｐ！！
一方的な好意は迷惑なだけですわ！！
[sync][wait][clear][end]"
msg_5,"[color(yellow)]ストーカー[color(white)]
こんなに好きなのにかい…？
こんなに想ってるのにかい…？
[wait][clear][end]"
msg_6,"[color(yellow)]エリー[color(white)]
Ｙｅｓ！Ｙｅｓ！！Ｙｅｓ！！！
[wait][clear][end]"
msg_7,"[color(yellow)]ストーカー[color(white)]
そんなにアイツがいいのかぁぁぁ！？
迷惑だとぉぉぉ！？
てめぇも俺と同じじゃねぇぇかぁぁぁ！！
[sync][wait][clear][end]"
msg_8,"[color(yellow)]エリー[color(white)]
私が…同じ…？
[sync][wait][clear][end]"
msg_9,"[color(yellow)]ストーカー[color(white)]
おめぇと俺は同じだよぉぉ！
[sync][wait][clear][end]"
msg_10,"[color(yellow)]うらら[color(white)]
うるせぇー！
こんのドちくしょーーーーーぅ！！
[sync][wait][clear][end]"
