﻿msg_0,"このままじゃハングします。
[wait][clear][end]"
msg_1,"[color(yellow)]うらら[color(white)]
あいつは知ってる…
私がした事を…
このままじゃ、あいつ…マーヤを…
[wait][clear][end]"
msg_2,"[color(yellow)]うらら[color(white)]
あれが私の本性…なのかなぁ…
自分で自分が嫌になっちゃうよ、ホント。
[wait][clear][end]"
msg_3,"[color(yellow)]うらら[color(white)]
ああいうの見ちゃうと…
なんかとんでもない連中を相手にしてるんだなって
実感沸いてきちゃうよねぇ…
[wait][clear][end]"
msg_4,"[color(yellow)]克哉[color(white)]
ＪＯＫＥＲ事件が奴の仕業なら、
それ以前に発生した猟奇殺人も、
奴の仕業である可能性が高い。
[wait][clear][end]"
msg_5,"[color(yellow)]克哉[color(white)]
だが…手口が違いすぎる…
奴は拳銃など使いはしないだろうしな。
いずれにしても捕まえて吐かせるしかないか。
[wait][clear][end]"
msg_6,"[color(yellow)]克哉[color(white)]
管理官と一緒にいたあの男…
初めてみる顔だったが、誰なんだ？
政府の者にも見えなかったが…
[wait][clear][end]"
msg_7,"[color(yellow)]克哉[color(white)]
殺し屋が警察の手伝いをしているだと…
冗談じゃないぞっ！
[wait][clear][end]"
msg_8,"[color(yellow)]克哉[color(white)]
今までもこうした戦いは、僕達の知らないどこかで
絶えず起きていたのかも知れない。
パオフゥは、それを知っていたんだろう…
[wait][clear][end]"
msg_9,"[color(yellow)]パオフゥ[color(white)]
ここの店主…六女だの七女だの言われてもな…
どうにも見分けがつかねえ。
ま、売っている物が同じなら関係無いが…
[wait][clear][end]"
msg_10,"[color(yellow)]パオフゥ[color(white)]
「向こう側」の世界…か。
まさか前世云々の話じゃねえだろうな？
[wait][clear][end]"
msg_11,"[color(yellow)]パオフゥ[color(white)]
今更、怖気づいても仕方ないだろ？
もうこっちの顔は向こうに割れてんだ。
逃げ出したって結果は同じだぞ。
[wait][clear][end]"
msg_12,"[color(yellow)]南条[color(white)]
グッ…し、しまった…
また…洗脳が…
耳栓をして入るべきだったかっ！
[wait][clear][end]"
msg_13,"[color(yellow)]南条[color(white)]
ヒットポイント～
[end]"
msg_14,"…っ！？い、いかん…このままでは…
回復するな…な…な…
[wait][clear][end]"
msg_15,"[color(yellow)]南条[color(white)]
相手は、俺達が研究所に行くのを見計らって、
ペントハウスを襲撃したのかもしれません。
せめて俺があの場にいれば…
[wait][clear][end]"
msg_16,"[color(yellow)]エリー[color(white)]
そう言えばＫｅｉはここのＢＧＭに、
完全に毒されてましたわね…
まさかまたやられていたりして…
[wait][clear][end]"
msg_17,"[color(yellow)]エリー[color(white)]
あの[tatsuya]君…
テレビ局で見る前にも、どこかで会った気がする…
他人の空似かなにかでしょうか？
[wait][clear][end]"
msg_18,"[color(yellow)]オバサン・次女[color(white)]
うひょひょひょひょ～私が次女なのよぉ～
新たに六女、七女も加わって、
珠閒瑠市制覇は目前なのよぉ～[wait][clear][color(yellow)]オバサン・次女[color(white)]
だから当店、次女の店もよろしくねぇ～
のりのりサウンド聞きながら、
のりのりでアイテム買ってちょうだぁ～い。
[wait][clear][end]"
msg_19,"[color(yellow)]オバサン・次女[color(white)]
うひょひょひょひょ～私が次女なのよぉ～
新たに六女、七女も加わって、
珠閒瑠市制覇は目前なのよぉ～[wait][clear][color(yellow)]オバサン・次女[color(white)]
だから当店、次女の店もよろしくねぇ～
あなたとは相性も良さそうだから、
特別価格で販売しちゃうわよ～[wait][clear][end]"
msg_20,"[color(yellow)]オバサン・次女[color(white)]
あらぁ、来てくれたのねぇ～
アナタが来ると、なぜか嬉しいのよぉ～
掟に逆らって、オマケまでしちゃうのよぉ～
[wait][clear][end]"
msg_21,"[color(yellow)]オバサン・次女[color(white)]
いらっしゃ～い。
うひょひょひょ。
サトミタダシ港南支店にようこそ～𝅘𝅥𝅮
[wait][clear][end]"
msg_22,"[color(yellow)]オバサン・次女[color(white)]
うひょひょひょ～
いらっしゃいま～せ～
[end_choice][clear][end]"
msg_22_Choice1,消費物を買う
msg_22_Choice2,アイテムを売る
msg_22_Choice3,話をする
msg_22_Choice4,[if_all(EBIT_SINARIOFF)]アイテムの確認
msg_22_Choice5,やめる
msg_22_Choice6,店の外に出る
msg_23,"[color(yellow)]オバサン・次女[color(white)]
さぁ、何を売りたいのかしらぁ？
[end_choice][clear][end]"
msg_23_Choice1,[dbl_tab][if_all(EBIT_SINARIOFF)]非表示項目
msg_23_Choice2,[dbl_tab]消費物を売る
msg_23_Choice3,[dbl_tab]武器を売る
msg_23_Choice4,[dbl_tab][if_all(EBIT_SINARIOFF)]頭防具を売る
msg_23_Choice5,[dbl_tab]防具を売る
msg_23_Choice6,[dbl_tab][if_all(EBIT_SINARIOFF)]脚防具を売る
msg_23_Choice7,[dbl_tab]アクセサリーを売る
msg_24,"[color(yellow)]オバサン・次女[color(white)]
何を聞きたいのかしらぁ～？
[end_choice][clear][end]"
msg_24_Choice1,世間話をする
msg_24_Choice2,売買の説明を聞く
